Prediction for the average column is 0.5193645547769955,column_name,aveage_val,initval,initval_predict_prob,finalval,finalval_predict_prob,final_minus_init
0,cc.age,1.0790880655086685,1.0790880655086685,0.5193645547769955,2.0790880655086683,0.57612880790896,0.05676425313196454
1,cc.blackdum,0.01159047005795235,0.0,0.5193645547769955,1.0,0.508878129437629,-0.0104864253393665
2,cc.cc16_304,1.0587016347337157,1.0587016347337157,0.5193645547769955,2.0587016347337155,0.5177171072404871,-0.0016474475365083618
3,cc.cc16_305_2,0.10933676754668384,0.0,0.5193645547769955,1.0,0.5245192211890148,0.0051546664120193375
4,cc.cc16_422c,1.056722507975111,1.056722507975111,0.5193645547769955,2.056722507975111,0.5645706023924602,0.04520604761546465
5,cc.cc16_422d,1.1982218460001544,1.1982218460001544,0.5193645547769955,2.1982218460001546,0.5233124678477785,0.003947913070783016
6,cc.cc16_422e,0.941222999479481,0.941222999479481,0.5193645547769955,1.941222999479481,0.5653599421590317,0.045995387382036235
7,cc.cc16_422f,1.1170316145817116,1.1170316145817116,0.5193645547769955,2.1170316145817116,0.5470109638196607,0.027646409042665243
8,cc.catholic,0.24584674822923375,0.0,0.5193645547769955,1.0,0.5001807962837311,-0.01918375849326437
9,cc.evanprot,0.43322601416613005,0.0,0.5193645547769955,1.0,0.48302812625966546,-0.036336428517330044
10,cc.ideo7,1.2841035454646905,1.2841035454646905,0.5193645547769955,2.2841035454646903,0.5359694733318537,0.01660491855485824
11,cc.inddum,0.0,0.0,0.5193645547769955,1.0,0.5193645547769955,0.0
12,cc.religiosity,1.0846951620128387,1.0846951620128387,0.5193645547769955,2.0846951620128387,0.4344920370488468,-0.08487251772814869
13,cc.repdum,1.0,1.0,0.5193645547769955,2.0,0.5193645547769955,0.0
14,cc.sex,0.5079201545396008,0.0,0.5150774145873123,1.0,0.5193645547769955,0.004287140189683236
15,cc.whitedum,0.8978750804893754,0.0,0.5259870575041266,1.0,0.5193645547769955,-0.006622502727131052
16,cc.emp.nojob,0.0351577591757888,0.0,0.5193645547769955,1.0,0.5293516148184034,0.009987060041407925
17,cc.faminc,0.9863206135076686,0.9863206135076686,0.5193645547769955,1.9863206135076688,0.5093428138221843,-0.010021740954811231
18,cc.i.white.educhs,0.24236960721184803,0.0,0.5193645547769955,1.0,0.5353192074213338,0.015954652644338263
19,cc.immviewsum,1.2265065738269003,1.2265065738269003,0.5193645547769955,2.2265065738269003,0.5825426746477566,0.06317811987076105
20,cc.maxeduc.4yr,0.2334835801674179,0.0,0.5193645547769955,1.0,0.5152741201821116,-0.004090434594883896
21,cc.union,0.24816484224082422,0.0,0.5193645547769955,1.0,0.5147063533468325,-0.004658201430163045
22,crashpc,0.8958816992971005,0.8958816992971005,0.5193645547769955,1.8958816992971004,0.5004423512839358,-0.01892220349305973
23,demo.popdense,0.15944921579811566,0.15944921579811566,0.5193645547769955,1.1594492157981158,0.5206504771191872,0.0012859223421917143
24,job.uer,0.9548057231302703,0.9548057231302703,0.5193645547769955,1.9548057231302702,0.6155737859918047,0.09620923121480918
25,mort.ucd.despair.disc95.pdpy,0.9513187736931186,0.9513187736931186,0.5193645547769955,1.9513187736931186,0.551488045190548,0.03212349041355245
26,rustpc,0.7530893368103069,0.7530893368103069,0.5193645547769955,1.7530893368103069,0.5431172696592821,0.023752714882286585
