Prediction for the average column is 0.12562897021241132,column_name,aveage_val,initval,initval_predict_prob,finalval,finalval_predict_prob,final_minus_init
0,cc.age,1.0296104687722134,1.0296104687722134,0.12562897021241132,2.0296104687722134,0.19894102201215674,0.07331205179974543
1,cc.blackdum,0.05386594038432441,0.0,0.12562897021241132,1.0,0.1177204734803852,-0.007908496732026121
2,cc.cc16_304,0.9995619462923622,0.9995619462923622,0.12562897021241132,1.9995619462923622,0.16428475047010305,0.03865578025769173
3,cc.cc16_305_2,0.14041458617037372,0.0,0.12562897021241132,1.0,0.13557247580270648,0.009943505590295165
4,cc.cc16_422c,0.942766523536299,0.942766523536299,0.12562897021241132,1.942766523536299,0.22181499587620299,0.09618602566379167
5,cc.cc16_422d,0.9270689254790021,0.9270689254790021,0.12562897021241132,1.927068925479002,0.20303009815799225,0.07740112794558093
6,cc.cc16_422e,0.8355336160547273,0.8355336160547273,0.12562897021241132,1.8355336160547273,0.13597434686351512,0.0103453766511038
7,cc.cc16_422f,0.93172291147151,0.93172291147151,0.12562897021241132,1.93172291147151,0.20017820958682514,0.07454923937441382
8,cc.catholic,0.1973067029807838,0.0,0.12562897021241132,1.0,0.1360271542723601,0.010398184059948773
9,cc.evanprot,0.2451202905129369,0.0,0.12562897021241132,1.0,0.1447851630320952,0.019156192819683893
10,cc.ideo7,0.9319466162553562,0.9319466162553562,0.12562897021241132,1.9319466162553562,0.26323427573945607,0.13760530552704475
11,cc.inddum,1.0,1.0,0.12562897021241132,2.0,0.12562897021241132,0.0
12,cc.religiosity,0.8824357251365254,0.8824357251365254,0.12562897021241132,1.8824357251365254,0.13265927116243134,0.007030300950020024
13,cc.repdum,0.0,0.0,0.12562897021241132,1.0,0.12562897021241132,0.0
14,cc.sex,0.43834165531850505,0.0,0.12562897021241132,1.0,0.11947071802919504,-0.006158252183216278
15,cc.whitedum,0.8019367529126948,0.0,0.118337255031041,1.0,0.12562897021241132,0.007291715181370312
16,cc.emp.nojob,0.04599788167650174,0.0,0.12562897021241132,1.0,0.12931197674835904,0.0036830065359477193
17,cc.faminc,0.9776344529178554,0.9776344529178554,0.12562897021241132,1.9776344529178553,0.10774647787141305,-0.01788249234099827
18,cc.i.white.educhs,0.14934180662732638,0.0,0.12562897021241132,1.0,0.20049722152493218,0.07486825131252087
19,cc.immviewsum,0.853979732643922,0.853979732643922,0.12562897021241132,1.853979732643922,0.3518408382560652,0.2262118680436539
20,cc.maxeduc.4yr,0.28279618701770315,0.0,0.12562897021241132,1.0,0.11546663328316116,-0.010162336929250157
21,cc.union,0.30700559842638825,0.0,0.12562897021241132,1.0,0.12615728756988157,0.0005283173574702482
22,crashpc,0.8372564470061971,0.8372564470061971,0.12562897021241132,1.837256447006197,0.16958179530598227,0.04395282509357096
23,demo.popdense,0.18994416632973954,0.18994416632973954,0.12562897021241132,1.1899441663297394,0.13208068516387722,0.006451714951465903
24,job.uer,0.9597383046676649,0.9597383046676649,0.12562897021241132,1.9597383046676649,0.17491725079692982,0.04928828058451851
25,mort.ucd.despair.disc95.pdpy,0.973359047999628,0.973359047999628,0.12562897021241132,1.9733590479996281,0.13394128786699974,0.008312317654588425
26,rustpc,0.7240658765283914,0.7240658765283914,0.12562897021241132,1.7240658765283914,0.15281537510083396,0.02718640488842264
