Prediction for the average column is 0.08290618364005226,column_name,aveage_val,initval,initval_predict_prob,finalval,finalval_predict_prob,final_minus_init
0,cc.age,1.0365825422023915,1.0365825422023915,0.08290618364005226,2.0365825422023915,0.10591686378644821,0.023010680146395956
1,cc.blackdum,0.09557634557634558,0.0,0.08290618364005226,1.0,0.06588221037916199,-0.017023973260890266
2,cc.cc16_304,0.9425983972738241,0.9425983972738241,0.08290618364005226,1.942598397273824,0.15366090000633031,0.07075471636627806
3,cc.cc16_305_2,0.11945599445599446,0.0,0.08290618364005224,1.0,0.10156150043081796,0.018655316790765722
4,cc.cc16_422c,0.8598792036570609,0.8598792036570609,0.08290618364005226,1.8598792036570608,0.1046212495000259,0.02171506585997364
5,cc.cc16_422d,0.8613963573123966,0.8613963573123966,0.08290618364005226,1.8613963573123966,0.16554704366412826,0.082640860024076
6,cc.cc16_422e,0.8656146404639564,0.8656146404639564,0.08290618364005226,1.8656146404639564,0.10798024305660926,0.025074059416557007
7,cc.cc16_422f,0.8776229450688388,0.8776229450688388,0.08290618364005226,1.8776229450688389,0.13250929606003384,0.04960311241998158
8,cc.catholic,0.22034534534534533,0.0,0.08290618364005226,1.0,0.09715338359500283,0.014247199954950579
9,cc.evanprot,0.27258027258027256,0.0,0.08290618364005226,1.0,0.1047580033879433,0.02185181974789105
10,cc.ideo7,0.9115585848937833,0.9115585848937833,0.08290618364005224,1.9115585848937833,0.41056456236366257,0.3276583787236103
11,cc.inddum,0.28008778008778007,0.0,0.08290618364005226,1.0,0.3199390447218698,0.23703286108181754
12,cc.religiosity,0.9119449739332044,0.9119449739332044,0.08290618364005226,1.9119449739332044,0.17186675956889041,0.08896057592883816
13,cc.repdum,0.26804689304689305,0.0,0.08290618364005226,1.0,0.71813384045597,0.6352276568159176
14,cc.sex,0.5252945252945252,0.0,0.07785589140010113,1.0,0.08290618364005226,0.005050292239951126
15,cc.whitedum,0.7768826518826519,0.0,0.07240701430305203,1.0,0.08290618364005226,0.010499169337000222
16,cc.emp.nojob,0.03952991452991453,0.0,0.08290618364005226,1.0,0.08290618364005226,0.0
17,cc.faminc,0.9633041910519473,0.9633041910519473,0.08290618364005226,1.9633041910519473,0.10105576864411975,0.018149585004067492
18,cc.i.white.educhs,0.17414529914529914,0.0,0.08290618364005226,1.0,0.0833569300244086,0.0004507463843563403
19,cc.immviewsum,0.7972490014949913,0.7972490014949913,0.08290618364005226,1.7972490014949913,0.17369870938564047,0.09079252574558822
20,cc.maxeduc.4yr,0.2643797643797644,0.0,0.08290618364005226,1.0,0.08817974322840605,0.005273559588353793
21,cc.union,0.29365904365904366,0.0,0.08290618364005226,1.0,0.07921557494741516,-0.0036906086926370985
22,crashpc,0.8526592133658091,0.8526592133658091,0.08290618364005226,1.852659213365809,0.10482519719357,0.021919013553517747
23,demo.popdense,0.25682551364803474,0.25682551364803474,0.08290618364005226,1.2568255136480349,0.07737769885928839,-0.00552848478076387
24,job.uer,0.9578176837940384,0.9578176837940384,0.08290618364005226,1.9578176837940384,0.0960096087237405,0.013103425083688239
25,mort.ucd.despair.disc95.pdpy,0.9679590982707544,0.9679590982707544,0.08290618364005226,1.9679590982707544,0.10092876158877516,0.018022577948722904
26,rustpc,0.7116567321687893,0.7116567321687893,0.08290618364005226,1.7116567321687892,0.09634122176276236,0.013435038122710102
