Prediction for the average column is 0.5914159606987048,column_name,aveage_val,initval,initval_predict_prob,finalval,finalval_predict_prob,final_minus_init
0,cc.age,1.0433343235748327,1.0433343235748327,0.5914159606987048,2.0433343235748325,0.633035364921772,0.0416194042230672
1,cc.blackdum,0.05281770476842346,0.0,0.5914159606987048,1.0,0.5739382344072081,-0.017477726291496687
2,cc.cc16_304,0.9858222699293294,0.9858222699293294,0.5914159606987048,1.9858222699293293,0.7051062211135809,0.11369026041487607
3,cc.cc16_305_2,0.13267168605977642,0.0,0.5914159606987048,1.0,0.6035508454218249,0.012134884723120076
4,cc.cc16_422c,0.9322789786053887,0.9322789786053887,0.5914159606987048,1.9322789786053887,0.6335791655185324,0.042163204819827604
5,cc.cc16_422d,0.9378235127596504,0.9378235127596504,0.5914159606987048,1.9378235127596504,0.7307726250069463,0.13935666430824145
6,cc.cc16_422e,0.8568396594923158,0.8568396594923158,0.5914159606987048,1.8568396594923158,0.6196323939617752,0.02821643326307033
7,cc.cc16_422f,0.9231502066481243,0.9231502066481243,0.5914159606987048,1.9231502066481243,0.7393011352181256,0.14788517451942074
8,cc.catholic,0.20773442847364817,0.0,0.5914159606987048,1.0,0.5980393967397879,0.006623436041083064
9,cc.evanprot,0.23682409308692676,0.0,0.5914159606987048,1.0,0.6063343649572506,0.014918404258545737
10,cc.ideo7,0.9433464365377128,0.9433464365377128,0.5914159606987048,1.9433464365377127,0.8092087472571413,0.21779278655843648
11,cc.inddum,1.0,1.0,0.5914159606987048,2.0,0.5914159606987048,0.0
12,cc.religiosity,0.8695935999605043,0.8695935999605043,0.5914159606987048,1.8695935999605044,0.6374511598216419,0.046035199122937076
13,cc.repdum,0.0,0.0,0.5914159606987048,1.0,0.5914159606987048,0.0
14,cc.sex,0.4559662331736254,0.0,0.5914159606987048,1.0,0.5959050860617332,0.004489125363028368
15,cc.whitedum,0.8042436687200547,0.0,0.5657092285746098,1.0,0.5914159606987048,0.025706732124095022
16,cc.emp.nojob,0.04734200319415925,0.0,0.5914159606987048,1.0,0.5893106975408101,-0.002105263157894721
17,cc.faminc,0.9703389868003742,0.9703389868003742,0.5914159606987048,1.9703389868003742,0.5768794143962356,-0.014536546302469255
18,cc.i.white.educhs,0.175792835957107,0.0,0.5914159606987048,1.0,0.6196964963706219,0.028280535671917018
19,cc.immviewsum,0.8840447358904697,0.8840447358904697,0.5914159606987048,1.8840447358904697,0.7367923610556697,0.14537640035696486
20,cc.maxeduc.4yr,0.2596395163130276,0.0,0.5914159606987048,1.0,0.5660973115274905,-0.02531864917121429
21,cc.union,0.2973990417522245,0.0,0.5914159606987048,1.0,0.5705969034792794,-0.020819057219425452
22,crashpc,0.8410817422056098,0.8410817422056098,0.5914159606987048,1.8410817422056098,0.5684164881530286,-0.022999472545676247
23,demo.popdense,0.20027162983637367,0.20027162983637367,0.5914159606987048,1.2002716298363736,0.5818893409467553,-0.009526619751949572
24,job.uer,0.9491257134776627,0.9491257134776627,0.5914159606987048,1.9491257134776627,0.6200181093713255,0.028602148672620675
25,mort.ucd.despair.disc95.pdpy,0.9745688406373461,0.9745688406373461,0.5914159606987048,1.974568840637346,0.5470118079475706,-0.044404152751134185
26,rustpc,0.704655426087042,0.704655426087042,0.5914159606987048,1.704655426087042,0.5464319925921521,-0.044983968106552696
