Prediction for the average column is 0.37114868492074576,column_name,aveage_val,initval,initval_predict_prob,finalval,finalval_predict_prob,final_minus_init
0,cc.age,1.0433735755475841,1.0433735755475841,0.3711486849207459,2.043373575547584,0.4675704642737867,0.0964217793530408
1,cc.blackdum,0.0511340206185567,0.0,0.37114868492074576,1.0,0.3255718794760664,-0.04557680544467935
2,cc.cc16_304,0.9979447403739692,0.9979447403739692,0.37114868492074576,1.9979447403739692,0.40970652051817313,0.03855783559742737
3,cc.cc16_305_2,0.1352577319587629,0.0,0.3711486849207457,1.0,0.34496662940316397,-0.026182055517581737
4,cc.cc16_422c,0.9303070837669994,0.9303070837669994,0.37114868492074576,1.9303070837669996,0.3816661555332976,0.010517470612551816
5,cc.cc16_422d,0.9220272829057945,0.9220272829057945,0.3711486849207459,1.9220272829057945,0.4814679971707811,0.11031931225003522
6,cc.cc16_422e,0.840536276579648,0.840536276579648,0.37114868492074576,1.840536276579648,0.3744184104806187,0.003269725559872927
7,cc.cc16_422f,0.9206685097847408,0.9206685097847408,0.37114868492074576,1.9206685097847407,0.4983705085357164,0.12722182361497064
8,cc.catholic,0.20268041237113402,0.0,0.37114868492074576,1.0,0.3616525427703467,-0.009496142150399067
9,cc.evanprot,0.23288659793814434,0.0,0.37114868492074576,1.0,0.42662088105104373,0.05547219613029797
10,cc.ideo7,0.9349158622127315,0.9349158622127315,0.37114868492074576,1.9349158622127316,0.7847761346473667,0.41362744972662097
11,cc.inddum,1.0,1.0,0.37114868492074576,2.0,0.37114868492074576,0.0
12,cc.religiosity,0.8683059203250042,0.8683059203250042,0.37114868492074576,1.868305920325004,0.4362020194963632,0.06505333457561746
13,cc.repdum,0.0,0.0,0.37114868492074576,1.0,0.37114868492074576,0.0
14,cc.sex,0.44432989690721647,0.0,0.37114868492074576,1.0,0.3726470365983313,0.001498351677585552
15,cc.whitedum,0.8106185567010309,0.0,0.3236922876165674,1.0,0.37114868492074576,0.04745639730417839
16,cc.emp.nojob,0.043608247422680414,0.0,0.37114868492074576,1.0,0.37078669397051955,-0.00036199095022620975
17,cc.faminc,0.9728109595829554,0.9728109595829554,0.37114868492074576,1.9728109595829553,0.38509914080934154,0.01395045588859578
18,cc.i.white.educhs,0.16329896907216496,0.0,0.37114868492074576,1.0,0.37655088712458046,0.005402202203834694
19,cc.immviewsum,0.8526737202161806,0.8526737202161806,0.37114868492074576,1.8526737202161807,0.49299875105040303,0.12185006612965726
20,cc.maxeduc.4yr,0.2755670103092783,0.0,0.37114868492074576,1.0,0.3613496643077159,-0.00979902061302984
21,cc.union,0.3009278350515464,0.0,0.37114868492074576,1.0,0.3302524342487599,-0.04089625067198588
22,crashpc,0.8374730152506784,0.8374730152506784,0.37114868492074576,1.8374730152506784,0.39141492998322647,0.020266245062480703
23,demo.popdense,0.19573505197391947,0.19573505197391947,0.37114868492074576,1.1957350519739194,0.37016567661286964,-0.000983008307876121
24,job.uer,0.9468737285552317,0.9468737285552317,0.37114868492074576,1.9468737285552318,0.35014995059972726,-0.02099873432101851
25,mort.ucd.despair.disc95.pdpy,0.9761595267724723,0.9761595267724723,0.3711486849207457,1.9761595267724723,0.38713818528241684,0.015989500361671127
26,rustpc,0.6947193921110935,0.6947193921110935,0.37114868492074576,1.6947193921110935,0.36378495830932406,-0.007363726611421706
